CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.022,-0.061,406.483,589.938,511.879
ARG,2.0,1.0,1.0,1.0,1.0,5.0,-0.1532,-0.2983,484.465,386.945,497.356
ARG,1.0,1.0,1.0,1.0,1.0,10.0,0.3729,1.3805,456.955,548.127,516.773
ARG,1.0,2.0,1.0,2.0,1.0,6.0,-1.2201,-1.2329,293.276,383.647,319.75
ARG,2.0,1.0,1.0,2.0,1.0,6.0,-0.4017,-0.6593,496.311,525.971,518.666
ARG,1.0,1.0,2.0,2.0,1.0,6.0,-1.5295,-1.6882,374.927,553.439,427.97
ARG,2.0,1.0,1.0,1.0,1.0,10.0,0.4061,0.3625,318.01,206.388,318.299
ARG,1.0,1.0,2.0,1.0,2.0,6.0,-2.3387,-1.4054,341.653,434.338,309.294
ARG,2.0,,,,,,,,360.078,406.296,350.714
ARG,1.0,,,,,7.0,-2.1373,-0.8607,302.291,312.389,276.384
ARG,2.0,1.0,1.0,2.0,1.0,5.0,-1.4901,-1.1986,239.953,244.554,422.863
ARG,2.0,1.0,2.0,1.0,1.0,6.0,-1.3707,-1.2708,354.993,366.756,362.253
ARG,2.0,1.0,2.0,2.0,2.0,5.0,-3.4794,-2.037,318.346,374.041,381.721
ARG,2.0,1.0,1.0,1.0,1.0,5.0,-0.647,-1.3942,312.288,383.141,400.817
ARG,2.0,2.0,1.0,1.0,1.0,3.0,0.3542,-1.6538,534.767,532.929,539.231
ARG,2.0,1.0,2.0,2.0,1.0,9.0,-1.0058,0.149,398.496,397.828,469.206
ARG,1.0,1.0,1.0,1.0,1.0,7.0,1.2602,-0.2556,523.994,535.329,619.359
ARG,2.0,2.0,1.0,1.0,1.0,9.0,-0.243,-0.3787,426.452,473.265,475.027
ARG,1.0,2.0,2.0,2.0,2.0,7.0,-2.542,-0.7178,408.585,391.278,414.466
ARG,2.0,1.0,,,,5.0,-0.1206,-0.6755,276.267,286.592,324.084
ARG,1.0,2.0,1.0,1.0,1.0,9.0,0.0346,0.6526,434.378,484.178,493.355
ARG,2.0,1.0,1.0,1.0,1.0,6.0,0.6218,-0.9666,301.972,284.647,336.616
ARG,2.0,,1.0,,,5.0,-1.8759,-1.7941,339.643,183.001,265.132
ARG,1.0,1.0,1.0,1.0,1.0,5.0,0.9271,-0.2567,315.207,433.869,423.854
ARG,2.0,1.0,2.0,2.0,1.0,6.0,-1.6871,-1.2057,311.399,279.97,338.941
ARG,2.0,1.0,2.0,2.0,1.0,10.0,-1.4438,-0.7898,362.507,355.512,411.784
ARG,2.0,1.0,1.0,1.0,1.0,9.0,-0.4264,0.4058,573.2,527.928,544.241
